dish_id,dish_name,dish_price,r_id
1,豬肉咖哩,100,1
2,蔬菜咖哩,110,1
3,雞肉咖哩,110,1
4,牛肉咖哩,120,1
5,黃金豬排咖哩,120,1
6,鍋燒麵(冬季限定),120,1
7,咖哩鍋燒麵(冬季限定),120,1
8,蔬菜拼牛肉,130,1
9,蔬菜拼豬肉,130,1
10,蔬菜拼雞肉,130,1
11,蔬菜拼魚,130,1
12,蔬菜拼雞塊,130,1
13,牛+雞咖哩雙拼,130,1
14,豬+牛咖哩雙拼,130,1
15,雞+豬咖哩雙拼,130,1
16,牛+魚咖哩雙拼,130,1
17,豬+魚咖哩雙拼,130,1
18,雞+魚咖哩雙拼,130,1
19,單點豬排,60,1
20,日式雞塊,50,1
21,可樂餅,40,1
22,咖哩醬,60,1
23,糖心蛋拉麵,199,2
24,豚骨拉麵,169,2
25,蔬菜拉麵,209,2
26,海苔拉麵,209,2
27,豪華拉麵,209,2
28,叉燒拉麵,299,2
29,特製拉麵(雙倍麵),139,2
30,麵類咖哩飯套餐,50,2
31,麵類蔥叉燒飯套餐,50,2
32,麵類可樂餅+炸薯條套餐,60,2
33,麵類香酥炸機+炸薯條套餐,60,2
34,麵類沙拉套餐,60,2
35,麵類迷你沙拉套餐,30,2
36,溏心蛋豆漿麵,169,2
37,豆漿麵,139,2
38,蔬菜豆漿麵,179,2
39,豪華豆漿麵,259,2
40,炸薯條,40,2
41,炸薯條(大),75,2
42,迷你沙拉,30,2
43,日式和菓子,70,2
44,炸雞排咖哩飯,149,2
45,咖哩飯,99,2
46,可樂餅咖哩飯,129,2
47,起司咖哩飯,139,2
48,炸雞塊咖哩飯,149,2
49,炸豬排咖哩飯,159,2
50,後切炸豬排咖哩飯,199,2
51,水果咖哩飯,149,2
52,豚雞沾麵基本,220,3
53,豚雞沾麵味玉,250,3
54,豚雞沾麵肉盛,280,3
55,豚雞咖哩沾麵基本(限週一三五),240,3
56,豚雞咖哩沾麵味玉(限週一三五),270,3
57,豚雞咖哩沾麵肉盛(限週一三五),300,3
58,豚雞煮干沾麵基本(限週二四六),240,3
59,豚雞煮干沾麵味玉(限週二四六),270,3
60,豚雞煮干沾麵肉盛(限週二四六),300,3
61,炸蝦拼盤,120,3
62,豪華豬排,80,3
63,鮮蝦可樂餅,80,3
64,唐揚雞,100,3
65,炸蝦咖哩飯,160,4
66,豬排咖哩飯,180,4
67,唐揚炸雞咖哩飯,180,4
68,豬排咖哩烏龍麵,180,4
69,唐揚炸雞咖哩烏龍麵,180,4
70,炸蝦咖哩烏龍麵,190,4
71,烏龍冷麵(小),90,4
72,烏龍冷麵(大),130,4
73,柴魚高湯烏龍麵(小),110,4
74,柴魚高湯烏龍麵(大),150,4
75,鮮蝦柴魚高湯烏龍麵(小),140,4
76,鮮蝦柴魚高湯烏龍麵(大),180,4
77,炸蝦烏龍麵(小),190,4
78,炸蝦烏龍麵(大),230,4
79,炒烏龍麵,180,4
80,蔥鹽牛五花丼,140,4
81,蔥鹽豬肉丼,140,4
82,炸豬排丼,180,4
83,炸蝦丼,200,4
84,日式炸雞塊丼(椒麻/蒜檸/蜂蜜芥末/相沿/橙醬),120,5
85,日式炸鯛魚排丼(椒麻/蜂蜜芥末),120,5
86,日式炸豬排丼,130,5
87,日式和風鯖魚丼,130,5
88,家傳風味豬腰肉丼(椒麻/蜂蜜芥末/台味/原味),130,5
89,家傳清蒸鯛魚排定食(晚餐),160,5
90,韓式炸雞塊丼,140,5
91,咖哩麻婆豆腐豬腰肉丼,150,5
92,咖哩麻婆豆腐炸豬排丼,150,5
93,咖哩麻婆豆腐炸雞塊丼,150,5
94,厚宅豬排咖哩,160,6
95,蘇嫩魚排咖哩,160,6
96,啾西炸雞咖哩,140,6
97,豬雞雙拼咖哩,190,6
98,厚宅咖哩,110,6
99,厚宅豬排丼,10,6
100,酥嫩魚排丼,150,6
101,啾西炸雞丼,140,6
102,犇跑吧牛丼,130,6
103,小鮮肉豚丼,110,6
104,嫩雞親子丼,110,6
105,厚宅豬排單點,80,6
106,酥嫩魚排單點,80,6
107,啾西炸雞單點,60,6
108,紓壓起司條,60,6
109,這圈有洋蔥,60,6
110,蔬菜可樂餅,40,6
111,樂咖薯條,60,6
112,厚切薯塊,60,6
113,胖滋薯餅,35,6
114,豬肉銅盤烤肉,200,7
115,牛肉銅盤烤肉,220,7
